"doi","exemplar","type","key","value"
"22CVJDRG","1","length","total_length","37893"
"22CVJDRG","1","string_cronbach","locations_cronbach.start","14483"
"22CVJDRG","2","string_cronbach","locations_cronbach.start","14631"
"22CVJDRG","3","string_cronbach","locations_cronbach.start","15217"
"22CVJDRG","4","string_cronbach","locations_cronbach.start","15281"
"22CVJDRG","5","string_cronbach","locations_cronbach.start","18470"
"22CVJDRG","1","string_cronbach","locations_cronbach.end","14498"
"22CVJDRG","2","string_cronbach","locations_cronbach.end","14646"
"22CVJDRG","3","string_cronbach","locations_cronbach.end","15232"
"22CVJDRG","4","string_cronbach","locations_cronbach.end","15296"
"22CVJDRG","5","string_cronbach","locations_cronbach.end","18485"
"22CVJDRG","1","string_cronbach","post_cronbach","a coefﬁcient of .93 (Pintrich et al., self-efﬁcacy "
"22CVJDRG","2","string_cronbach","post_cronbach","a coefﬁcient of the sized that self-judgment, isola"
"22CVJDRG","3","string_cronbach","post_cronbach","a of .68 for this subscale. In the current study Cr"
"22CVJDRG","4","string_cronbach","post_cronbach","a was calculated as .68. The study included 216 uni"
"22CVJDRG","5","string_cronbach","post_cronbach","a (r ¼.57, p o.01), and mindfulness (r ¼ .57, p o.0"
