"doi","exemplar","type","key","value"
"322LCR6Q","1","length","total_length","39341"
"322LCR6Q","1","string_cronbach","locations_cronbach.start","15224"
"322LCR6Q","2","string_cronbach","locations_cronbach.start","16256"
"322LCR6Q","3","string_cronbach","locations_cronbach.start","17811"
"322LCR6Q","1","string_cronbach","locations_cronbach.end","15239"
"322LCR6Q","2","string_cronbach","locations_cronbach.end","16271"
"322LCR6Q","3","string_cronbach","locations_cronbach.end","17826"
"322LCR6Q","1","string_cronbach","post_cronbach","a was resulted in the presentation of a red “X”, wh"
"322LCR6Q","2","string_cronbach","post_cronbach","a was .87 (overweight target3; 95% CI=.8–.91) and ."
"322LCR6Q","3","string_cronbach","post_cronbach","a. Copyright © 2011 John Wiley & Sons, Ltd. Eur. J."
