"doi","exemplar","type","key","value"
"3XU9CTN3","1","length","total_length","53133"
"3XU9CTN3","1","string_cronbach","locations_cronbach.start","12895"
"3XU9CTN3","2","string_cronbach","locations_cronbach.start","14299"
"3XU9CTN3","3","string_cronbach","locations_cronbach.start","16018"
"3XU9CTN3","1","string_cronbach","locations_cronbach.end","12906"
"3XU9CTN3","2","string_cronbach","locations_cronbach.end","14314"
"3XU9CTN3","3","string_cronbach","locations_cronbach.end","16029"
"3XU9CTN3","1","string_cronbach","post_cronbach","al- formance. The present study was different from "
"3XU9CTN3","2","string_cronbach","post_cronbach","a=.90-.91 (Spielberger et al. 1983). Internal uli ("
"3XU9CTN3","3","string_cronbach","post_cronbach","appeared on the screen to prompt the participant fo"
