"doi","exemplar","type","key","value"
"4NIVL67I","1","length","total_length","70113"
"4NIVL67I","1","string_cronbach","locations_cronbach.start","20216"
"4NIVL67I","2","string_cronbach","locations_cronbach.start","23768"
"4NIVL67I","3","string_cronbach","locations_cronbach.start","49716"
"4NIVL67I","1","string_cronbach","locations_cronbach.end","20231"
"4NIVL67I","2","string_cronbach","locations_cronbach.end","23783"
"4NIVL67I","3","string_cronbach","locations_cronbach.end","49729"
"4NIVL67I","1","string_cronbach","post_cronbach","a of .95 in a sample of ments such as “I felt every"
"4NIVL67I","2","string_cronbach","post_cronbach","a coefficient of the instrument was .88, while (CCL"
"4NIVL67I","3","string_cronbach","post_cronbach","as were obtained for scales such as the ATQ in penc"
