"doi","exemplar","type","key","value"
"72TDAMG2","1","length","total_length","35606"
"72TDAMG2","1","string_cronbach","locations_cronbach.start","6762"
"72TDAMG2","2","string_cronbach","locations_cronbach.start","11148"
"72TDAMG2","3","string_cronbach","locations_cronbach.start","12293"
"72TDAMG2","4","string_cronbach","locations_cronbach.start","12967"
"72TDAMG2","1","string_cronbach","locations_cronbach.end","6773"
"72TDAMG2","2","string_cronbach","locations_cronbach.end","11159"
"72TDAMG2","3","string_cronbach","locations_cronbach.end","12304"
"72TDAMG2","4","string_cronbach","locations_cronbach.end","12978"
"72TDAMG2","1","string_cronbach","post_cronbach","a was 0.87 for the present is defined as the relati"
"72TDAMG2","2","string_cronbach","post_cronbach","a was 0.89. Prior to the data collection all partic"
"72TDAMG2","3","string_cronbach","post_cronbach","a was 0.89. Mean SD Range Min Max Impl. self-esteem"
"72TDAMG2","4","string_cronbach","post_cronbach","a Table 2 | Correlations among measures of implicit"
