"doi","exemplar","type","key","value"
"8NRL8J8A","1","length","total_length","64544"
"8NRL8J8A","1","string_cronbach","locations_cronbach.start","18218"
"8NRL8J8A","2","string_cronbach","locations_cronbach.start","18888"
"8NRL8J8A","3","string_cronbach","locations_cronbach.start","19365"
"8NRL8J8A","4","string_cronbach","locations_cronbach.start","19780"
"8NRL8J8A","5","string_cronbach","locations_cronbach.start","20289"
"8NRL8J8A","6","string_cronbach","locations_cronbach.start","21042"
"8NRL8J8A","1","string_cronbach","locations_cronbach.end","18233"
"8NRL8J8A","2","string_cronbach","locations_cronbach.end","18903"
"8NRL8J8A","3","string_cronbach","locations_cronbach.end","19380"
"8NRL8J8A","4","string_cronbach","locations_cronbach.end","19795"
"8NRL8J8A","5","string_cronbach","locations_cronbach.end","20304"
"8NRL8J8A","6","string_cronbach","locations_cronbach.end","21057"
"8NRL8J8A","1","string_cronbach","post_cronbach","as were .72 for describing, .85 for identifying, .4"
"8NRL8J8A","2","string_cronbach","post_cronbach","a ranged between .83 (compassion) and .90 (contentm"
"8NRL8J8A","3","string_cronbach","post_cronbach","a was .77 for the decentering scale. Acceptance and"
"8NRL8J8A","4","string_cronbach","post_cronbach","a was .92. Fears of Compassion Scales (Gilbert et a"
"8NRL8J8A","5","string_cronbach","post_cronbach","as were .86 for fears of expressing compassion for "
"8NRL8J8A","6","string_cronbach","post_cronbach","a ranged between .55 and .83 for the subscales and "
