"doi","exemplar","type","key","value"
"9ARVCAI2","1","length","total_length","55554"
"9ARVCAI2","1","string_cronbach","locations_cronbach.start","20374"
"9ARVCAI2","2","string_cronbach","locations_cronbach.start","22045"
"9ARVCAI2","3","string_cronbach","locations_cronbach.start","23409"
"9ARVCAI2","1","string_cronbach","locations_cronbach.end","20389"
"9ARVCAI2","2","string_cronbach","locations_cronbach.end","22060"
"9ARVCAI2","3","string_cronbach","locations_cronbach.end","23424"
"9ARVCAI2","1","string_cronbach","post_cronbach","a coeﬃcient for the RA scale was .87. administered "
"9ARVCAI2","2","string_cronbach","post_cronbach","a coeﬃcient for the Internalizing Problems * p < .0"
"9ARVCAI2","3","string_cronbach","post_cronbach","a coeﬃcient was .83. any of the questionnaires (AFQ"
