"doi","exemplar","type","key","value"
"9CJ2NNF8","1","length","total_length","98370"
"9CJ2NNF8","1","string_cronbach","locations_cronbach.start","19076"
"9CJ2NNF8","2","string_cronbach","locations_cronbach.start","19638"
"9CJ2NNF8","3","string_cronbach","locations_cronbach.start","54616"
"9CJ2NNF8","4","string_cronbach","locations_cronbach.start","94931"
"9CJ2NNF8","5","string_cronbach","locations_cronbach.start","95596"
"9CJ2NNF8","6","string_cronbach","locations_cronbach.start","96947"
"9CJ2NNF8","1","string_cronbach","locations_cronbach.end","19091"
"9CJ2NNF8","2","string_cronbach","locations_cronbach.end","19653"
"9CJ2NNF8","3","string_cronbach","locations_cronbach.end","54631"
"9CJ2NNF8","4","string_cronbach","locations_cronbach.end","94946"
"9CJ2NNF8","5","string_cronbach","locations_cronbach.end","95607"
"9CJ2NNF8","6","string_cronbach","locations_cronbach.end","96958"
"9CJ2NNF8","1","string_cronbach","post_cronbach","a) and test-retest reliability for the 10-item and "
"9CJ2NNF8","2","string_cronbach","post_cronbach","a tends to underestimate reliability for short and/"
"9CJ2NNF8","3","string_cronbach","post_cronbach","a, an estimate of internal consistency, was in the "
"9CJ2NNF8","4","string_cronbach","post_cronbach","a Test-retest correlation E A C N O GA BFI GA BFI E"
"9CJ2NNF8","5","string_cronbach","post_cronbach","a Original GA Convergent correlation CV correlation"
"9CJ2NNF8","6","string_cronbach","post_cronbach","a Original GA Convergent correlation CV correlation"
