"doi","exemplar","type","key","value"
"AEUBETJ6","1","length","total_length","41923"
"AEUBETJ6","1","string_cronbach","locations_cronbach.start","8360"
"AEUBETJ6","2","string_cronbach","locations_cronbach.start","11087"
"AEUBETJ6","3","string_cronbach","locations_cronbach.start","12646"
"AEUBETJ6","4","string_cronbach","locations_cronbach.start","15941"
"AEUBETJ6","1","string_cronbach","locations_cronbach.end","8369"
"AEUBETJ6","2","string_cronbach","locations_cronbach.end","11096"
"AEUBETJ6","3","string_cronbach","locations_cronbach.end","12655"
"AEUBETJ6","4","string_cronbach","locations_cronbach.end","15950"
"AEUBETJ6","1","string_cronbach","post_cronbach","α 40.75; Bjelland, Dahl, Haug, & Neckelmann, to ass"
"AEUBETJ6","2","string_cronbach","post_cronbach","α ranging from 0.78 to 0.93), and va- help generali"
"AEUBETJ6","3","string_cronbach","post_cronbach","α ¼0.72; Løchting, pervision with SY, an ACT-traine"
"AEUBETJ6","4","string_cronbach","post_cronbach","α ¼0.94) and correlations between both subscales an"
