"doi","exemplar","type","key","value"
"AWXRFEWI","1","length","total_length","69477"
"AWXRFEWI","1","string_cronbach","locations_cronbach.start","17493"
"AWXRFEWI","2","string_cronbach","locations_cronbach.start","21395"
"AWXRFEWI","3","string_cronbach","locations_cronbach.start","25931"
"AWXRFEWI","4","string_cronbach","locations_cronbach.start","33210"
"AWXRFEWI","5","string_cronbach","locations_cronbach.start","33315"
"AWXRFEWI","6","string_cronbach","locations_cronbach.start","33401"
"AWXRFEWI","7","string_cronbach","locations_cronbach.start","33602"
"AWXRFEWI","8","string_cronbach","locations_cronbach.start","36353"
"AWXRFEWI","1","string_cronbach","locations_cronbach.end","17508"
"AWXRFEWI","2","string_cronbach","locations_cronbach.end","21410"
"AWXRFEWI","3","string_cronbach","locations_cronbach.end","25946"
"AWXRFEWI","4","string_cronbach","locations_cronbach.end","33225"
"AWXRFEWI","5","string_cronbach","locations_cronbach.end","33330"
"AWXRFEWI","6","string_cronbach","locations_cronbach.end","33416"
"AWXRFEWI","7","string_cronbach","locations_cronbach.end","33617"
"AWXRFEWI","8","string_cronbach","locations_cronbach.end","36368"
"AWXRFEWI","1","string_cronbach","post_cronbach","a (α); Test-retest reliability calculated using Pea"
"AWXRFEWI","2","string_cronbach","post_cronbach","a (α) agreement coefficient of ≥ .80. When consensu"
"AWXRFEWI","3","string_cronbach","post_cronbach","a (α); Test-retest reliability scores use Pearson's"
"AWXRFEWI","4","string_cronbach","post_cronbach","a = .90); Factor 2 behavioral awareness (5 contact "
"AWXRFEWI","5","string_cronbach","post_cronbach","a = .87); and Factor 3 valued action (8 values/comm"
"AWXRFEWI","6","string_cronbach","post_cronbach","a = .90). These subscales were inter-related (rs = "
"AWXRFEWI","7","string_cronbach","post_cronbach","a for the overall CompACT score (23 items, collapsi"
"AWXRFEWI","8","string_cronbach","post_cronbach","a values are sensitive to the number of items and d"
