"doi","exemplar","type","key","value"
"BVG97KHR","1","length","total_length","65067"
"BVG97KHR","1","string_cronbach","locations_cronbach.start","30763"
"BVG97KHR","2","string_cronbach","locations_cronbach.start","31896"
"BVG97KHR","3","string_cronbach","locations_cronbach.start","43967"
"BVG97KHR","1","string_cronbach","locations_cronbach.end","30776"
"BVG97KHR","2","string_cronbach","locations_cronbach.end","31909"
"BVG97KHR","3","string_cronbach","locations_cronbach.end","43976"
"BVG97KHR","1","string_cronbach","post_cronbach","a estimate was good, .73 (95% CI 5 .69–.77; average"
"BVG97KHR","2","string_cronbach","post_cronbach","a estimates for the PANSI-Positive scale, .83 (95% "
"BVG97KHR","3","string_cronbach","post_cronbach","and contemporary scale reliability analyses provide"
