"doi","exemplar","type","key","value"
"BZY2CWTZ","1","length","total_length","44905"
"BZY2CWTZ","1","string_cronbach","locations_cronbach.start","5012"
"BZY2CWTZ","2","string_cronbach","locations_cronbach.start","5602"
"BZY2CWTZ","3","string_cronbach","locations_cronbach.start","17914"
"BZY2CWTZ","4","string_cronbach","locations_cronbach.start","20922"
"BZY2CWTZ","1","string_cronbach","locations_cronbach.end","5023"
"BZY2CWTZ","2","string_cronbach","locations_cronbach.end","5613"
"BZY2CWTZ","3","string_cronbach","locations_cronbach.end","17925"
"BZY2CWTZ","4","string_cronbach","locations_cronbach.end","20933"
"BZY2CWTZ","1","string_cronbach","post_cronbach","α = .56, 95% CI [.46, .65], 95% CR arbitrary, and t"
"BZY2CWTZ","2","string_cronbach","post_cronbach","α of internal consistency than Golijani-Moghaddam e"
"BZY2CWTZ","3","string_cronbach","post_cronbach","α, and As noted in the introduction, Parson’s (2019"
"BZY2CWTZ","4","string_cronbach","post_cronbach","a Test−retest reliability ICC [95% CI] Body image 0"
