"doi","exemplar","type","key","value"
"C7FGKFSX","1","length","total_length","37497"
"C7FGKFSX","1","string_cronbach","locations_cronbach.start","11737"
"C7FGKFSX","2","string_cronbach","locations_cronbach.start","13375"
"C7FGKFSX","3","string_cronbach","locations_cronbach.start","14506"
"C7FGKFSX","1","string_cronbach","locations_cronbach.end","11752"
"C7FGKFSX","2","string_cronbach","locations_cronbach.end","13388"
"C7FGKFSX","3","string_cronbach","locations_cronbach.end","14521"
"C7FGKFSX","1","string_cronbach","post_cronbach","a was .87. induce suppression and/or avoidance), wh"
"C7FGKFSX","2","string_cronbach","post_cronbach","as for dimensions varied between .69 (avoidance att"
"C7FGKFSX","3","string_cronbach","post_cronbach","a was only performed for this PC frequency AAQ-II s"
