"doi","exemplar","type","key","value"
"CHD39EJZ","1","length","total_length","64207"
"CHD39EJZ","1","string_cronbach","locations_cronbach.start","13969"
"CHD39EJZ","2","string_cronbach","locations_cronbach.start","14242"
"CHD39EJZ","3","string_cronbach","locations_cronbach.start","14624"
"CHD39EJZ","4","string_cronbach","locations_cronbach.start","14854"
"CHD39EJZ","5","string_cronbach","locations_cronbach.start","16597"
"CHD39EJZ","6","string_cronbach","locations_cronbach.start","16953"
"CHD39EJZ","1","string_cronbach","locations_cronbach.end","13984"
"CHD39EJZ","2","string_cronbach","locations_cronbach.end","14257"
"CHD39EJZ","3","string_cronbach","locations_cronbach.end","14639"
"CHD39EJZ","4","string_cronbach","locations_cronbach.end","14869"
"CHD39EJZ","5","string_cronbach","locations_cronbach.end","16612"
"CHD39EJZ","6","string_cronbach","locations_cronbach.end","16968"
"CHD39EJZ","1","string_cronbach","post_cronbach","a in the current study was .84. The Brief Fear of N"
"CHD39EJZ","2","string_cronbach","post_cronbach","a = .85), and is appropriate for use with non-clini"
"CHD39EJZ","3","string_cronbach","post_cronbach","a=.86). The Beck Depression Inventory-II (BDI-II; B"
"CHD39EJZ","4","string_cronbach","post_cronbach","a in the current sample was .90. The BDI-II was inc"
"CHD39EJZ","5","string_cronbach","post_cronbach","a across the three assessment points=.76). The Perc"
"CHD39EJZ","6","string_cronbach","post_cronbach","a=.86). Note that the PSP has also been referred to"
