"doi","exemplar","type","key","value"
"CPB4PMKM","1","length","total_length","63281"
"CPB4PMKM","1","string_cronbach","locations_cronbach.start","26113"
"CPB4PMKM","2","string_cronbach","locations_cronbach.start","26265"
"CPB4PMKM","3","string_cronbach","locations_cronbach.start","27342"
"CPB4PMKM","4","string_cronbach","locations_cronbach.start","29089"
"CPB4PMKM","5","string_cronbach","locations_cronbach.start","58472"
"CPB4PMKM","1","string_cronbach","locations_cronbach.end","26128"
"CPB4PMKM","2","string_cronbach","locations_cronbach.end","26280"
"CPB4PMKM","3","string_cronbach","locations_cronbach.end","27357"
"CPB4PMKM","4","string_cronbach","locations_cronbach.end","29104"
"CPB4PMKM","5","string_cronbach","locations_cronbach.end","58487"
"CPB4PMKM","1","string_cronbach","post_cronbach","a of .8 as a reasonable goal for a scale. A distres"
"CPB4PMKM","2","string_cronbach","post_cronbach","a ⱖ .80. Distress composite scores for each partici"
"CPB4PMKM","3","string_cronbach","post_cronbach","a < .8) across sessions. Therefore, we chose to use"
"CPB4PMKM","4","string_cronbach","post_cronbach","as ranging from .79 to .94, and good test-retest re"
"CPB4PMKM","5","string_cronbach","post_cronbach","a reliability coefficient for Likert-type scales. I"
