"doi","exemplar","type","key","value"
"DR7WMFZN","1","length","total_length","35123"
"DR7WMFZN","1","string_cronbach","locations_cronbach.start","12471"
"DR7WMFZN","2","string_cronbach","locations_cronbach.start","13838"
"DR7WMFZN","3","string_cronbach","locations_cronbach.start","14596"
"DR7WMFZN","1","string_cronbach","locations_cronbach.end","12486"
"DR7WMFZN","2","string_cronbach","locations_cronbach.end","13853"
"DR7WMFZN","3","string_cronbach","locations_cronbach.end","14611"
"DR7WMFZN","1","string_cronbach","post_cronbach","a for BIS of temperamental factors and identity dev"
"DR7WMFZN","2","string_cronbach","post_cronbach","a for ATQ-SF-EC was 0.77. 3. Method Erikson Psychos"
"DR7WMFZN","3","string_cronbach","post_cronbach","a for identity sponses had to be excluded because o"
