"doi","exemplar","type","key","value"
"I6KXBH68","1","length","total_length","79537"
"I6KXBH68","1","string_cronbach","locations_cronbach.start","32659"
"I6KXBH68","2","string_cronbach","locations_cronbach.start","32775"
"I6KXBH68","3","string_cronbach","locations_cronbach.start","33046"
"I6KXBH68","1","string_cronbach","locations_cronbach.end","32674"
"I6KXBH68","2","string_cronbach","locations_cronbach.end","32790"
"I6KXBH68","3","string_cronbach","locations_cronbach.end","33059"
"I6KXBH68","1","string_cronbach","post_cronbach","a ofthis twenty-two item measure was 0.92, and the "
"I6KXBH68","2","string_cronbach","post_cronbach","a for our factors was found to be 0.92 for factor o"
"I6KXBH68","3","string_cronbach","post_cronbach","a value drops to 0.86. The test-retest reliability "
