"doi","exemplar","type","key","value"
"IDUACVZ6","1","length","total_length","177868"
"IDUACVZ6","1","string_cronbach","locations_cronbach.start","23217"
"IDUACVZ6","2","string_cronbach","locations_cronbach.start","38634"
"IDUACVZ6","3","string_cronbach","locations_cronbach.start","39765"
"IDUACVZ6","4","string_cronbach","locations_cronbach.start","40514"
"IDUACVZ6","5","string_cronbach","locations_cronbach.start","41390"
"IDUACVZ6","6","string_cronbach","locations_cronbach.start","42299"
"IDUACVZ6","7","string_cronbach","locations_cronbach.start","43064"
"IDUACVZ6","8","string_cronbach","locations_cronbach.start","43741"
"IDUACVZ6","9","string_cronbach","locations_cronbach.start","50141"
"IDUACVZ6","10","string_cronbach","locations_cronbach.start","50295"
"IDUACVZ6","11","string_cronbach","locations_cronbach.start","50812"
"IDUACVZ6","12","string_cronbach","locations_cronbach.start","51947"
"IDUACVZ6","1","string_cronbach","locations_cronbach.end","23232"
"IDUACVZ6","2","string_cronbach","locations_cronbach.end","38649"
"IDUACVZ6","3","string_cronbach","locations_cronbach.end","39780"
"IDUACVZ6","4","string_cronbach","locations_cronbach.end","40529"
"IDUACVZ6","5","string_cronbach","locations_cronbach.end","41405"
"IDUACVZ6","6","string_cronbach","locations_cronbach.end","42314"
"IDUACVZ6","7","string_cronbach","locations_cronbach.end","43079"
"IDUACVZ6","8","string_cronbach","locations_cronbach.end","43756"
"IDUACVZ6","9","string_cronbach","locations_cronbach.end","50156"
"IDUACVZ6","10","string_cronbach","locations_cronbach.end","50310"
"IDUACVZ6","11","string_cronbach","locations_cronbach.end","50827"
"IDUACVZ6","12","string_cronbach","locations_cronbach.end","51962"
"IDUACVZ6","1","string_cronbach","post_cronbach","a ranging from .70 to .90 (Nosek, 2007). Test-retes"
"IDUACVZ6","2","string_cronbach","post_cronbach","a for items assessing objective and subjective bing"
"IDUACVZ6","3","string_cronbach","post_cronbach","a for the EDE-Q total score in this sample was .87."
"IDUACVZ6","4","string_cronbach","post_cronbach","a for the UPPS-P negative urgency subscale was .92 "
"IDUACVZ6","5","string_cronbach","post_cronbach","a for the TAS-20 in this sample was .90. Acceptance"
"IDUACVZ6","6","string_cronbach","post_cronbach","a for the AAQ-II was .91 in this sample. British Co"
"IDUACVZ6","7","string_cronbach","post_cronbach","a for the BCMDI in this sample was .95. General Anx"
"IDUACVZ6","8","string_cronbach","post_cronbach","a for the GAD-7 was .93 in this sample. Analytical "
"IDUACVZ6","9","string_cronbach","post_cronbach","a for QEWP-5 items assessing objective and subjecti"
"IDUACVZ6","10","string_cronbach","post_cronbach","a for the EDE-Q in this sample was 89. Sociocultura"
"IDUACVZ6","11","string_cronbach","post_cronbach","a for the SATAQ in this sample was .89. Modified Va"
"IDUACVZ6","12","string_cronbach","post_cronbach","a for the modified values inventory was .77 in this"
