"doi","exemplar","type","key","value"
"K37QR7C4","1","length","total_length","63516"
"K37QR7C4","1","string_cronbach","locations_cronbach.start","34955"
"K37QR7C4","2","string_cronbach","locations_cronbach.start","35120"
"K37QR7C4","3","string_cronbach","locations_cronbach.start","35914"
"K37QR7C4","4","string_cronbach","locations_cronbach.start","36024"
"K37QR7C4","1","string_cronbach","locations_cronbach.end","34970"
"K37QR7C4","2","string_cronbach","locations_cronbach.end","35135"
"K37QR7C4","3","string_cronbach","locations_cronbach.end","35929"
"K37QR7C4","4","string_cronbach","locations_cronbach.end","36039"
"K37QR7C4","1","string_cronbach","post_cronbach","a rating. Internal consistency is a measure of reli"
"K37QR7C4","2","string_cronbach","post_cronbach","a is a coefficient of this reliability; ratings ran"
"K37QR7C4","3","string_cronbach","post_cronbach","a value to increase (Serling & Betz, 1997). Items t"
"K37QR7C4","4","string_cronbach","post_cronbach","a coefficient were removed one at a time until the "
