"doi","exemplar","type","key","value"
"L28R95PH","1","length","total_length","71879"
"L28R95PH","1","string_cronbach","locations_cronbach.start","20192"
"L28R95PH","2","string_cronbach","locations_cronbach.start","20423"
"L28R95PH","3","string_cronbach","locations_cronbach.start","20786"
"L28R95PH","4","string_cronbach","locations_cronbach.start","24047"
"L28R95PH","1","string_cronbach","locations_cronbach.end","20203"
"L28R95PH","2","string_cronbach","locations_cronbach.end","20434"
"L28R95PH","3","string_cronbach","locations_cronbach.end","20797"
"L28R95PH","4","string_cronbach","locations_cronbach.end","24062"
"L28R95PH","1","string_cronbach","post_cronbach","α=.93; Neff, 2003). The internal BHardly Ever,^ BSo"
"L28R95PH","2","string_cronbach","post_cronbach","α=.92. The Portuguese version of SCS has haviors (i"
"L28R95PH","3","string_cronbach","post_cronbach","α=.89 for the total score (Castilho & Pinto- people"
"L28R95PH","4","string_cronbach","post_cronbach","a ranges from BFacebook makes me feel^ and BStudyin"
