"doi","exemplar","type","key","value"
"NHIS8CJ8","1","length","total_length","77348"
"NHIS8CJ8","1","string_cronbach","locations_cronbach.start","27107"
"NHIS8CJ8","2","string_cronbach","locations_cronbach.start","28967"
"NHIS8CJ8","3","string_cronbach","locations_cronbach.start","30524"
"NHIS8CJ8","4","string_cronbach","locations_cronbach.start","30758"
"NHIS8CJ8","1","string_cronbach","locations_cronbach.end","27122"
"NHIS8CJ8","2","string_cronbach","locations_cronbach.end","28982"
"NHIS8CJ8","3","string_cronbach","locations_cronbach.end","30535"
"NHIS8CJ8","4","string_cronbach","locations_cronbach.end","30773"
"NHIS8CJ8","1","string_cronbach","post_cronbach","a (.75) from Poznanski & Mokros, 1996) Petts et al."
"NHIS8CJ8","2","string_cronbach","post_cronbach","a from a child and priori as a decrease of 11 point"
"NHIS8CJ8","3","string_cronbach","post_cronbach","α=.86; Shirk et al., 2008). This SD of 12.74 and an"
"NHIS8CJ8","4","string_cronbach","post_cronbach","a (.92) from Steer et al. 2.4. Procedure (1998). Th"
