"doi","exemplar","type","key","value"
"P69XZSN3","1","length","total_length","51383"
"P69XZSN3","1","string_cronbach","locations_cronbach.start","12705"
"P69XZSN3","2","string_cronbach","locations_cronbach.start","13294"
"P69XZSN3","3","string_cronbach","locations_cronbach.start","14097"
"P69XZSN3","4","string_cronbach","locations_cronbach.start","15052"
"P69XZSN3","1","string_cronbach","locations_cronbach.end","12720"
"P69XZSN3","2","string_cronbach","locations_cronbach.end","13309"
"P69XZSN3","3","string_cronbach","locations_cronbach.end","14112"
"P69XZSN3","4","string_cronbach","locations_cronbach.end","15067"
"P69XZSN3","1","string_cronbach","post_cronbach","as for the current 2016). study were: Psychological"
"P69XZSN3","2","string_cronbach","post_cronbach","as for the current Female 53.20% Ethnicity White 97"
"P69XZSN3","3","string_cronbach","post_cronbach","a for the Hodgkin Lymphoma 9.8% NHL 64.6% current s"
"P69XZSN3","4","string_cronbach","post_cronbach","as for the current study was 0.924. missing data. A"
