"doi","exemplar","type","key","value"
"PJ2JWMN3","1","length","total_length","104456"
"PJ2JWMN3","1","string_cronbach","locations_cronbach.start","35893"
"PJ2JWMN3","2","string_cronbach","locations_cronbach.start","36054"
"PJ2JWMN3","3","string_cronbach","locations_cronbach.start","102004"
"PJ2JWMN3","1","string_cronbach","locations_cronbach.end","35908"
"PJ2JWMN3","2","string_cronbach","locations_cronbach.end","36069"
"PJ2JWMN3","3","string_cronbach","locations_cronbach.end","102015"
"PJ2JWMN3","1","string_cronbach","post_cronbach","a reliability of .88, but the three items making up"
"PJ2JWMN3","2","string_cronbach","post_cronbach","a reliability of .71. The factors were relatively w"
"PJ2JWMN3","3","string_cronbach","post_cronbach","α .90 .92 .88 .93 .90 r = .80 test - retest p <.001"
