"doi","exemplar","type","key","value"
"Q2D56RPC","1","length","total_length","42250"
"Q2D56RPC","1","string_cronbach","locations_cronbach.start","11790"
"Q2D56RPC","2","string_cronbach","locations_cronbach.start","12023"
"Q2D56RPC","3","string_cronbach","locations_cronbach.start","12882"
"Q2D56RPC","4","string_cronbach","locations_cronbach.start","12915"
"Q2D56RPC","5","string_cronbach","locations_cronbach.start","13320"
"Q2D56RPC","6","string_cronbach","locations_cronbach.start","13909"
"Q2D56RPC","7","string_cronbach","locations_cronbach.start","14174"
"Q2D56RPC","8","string_cronbach","locations_cronbach.start","14277"
"Q2D56RPC","9","string_cronbach","locations_cronbach.start","14492"
"Q2D56RPC","1","string_cronbach","locations_cronbach.end","11801"
"Q2D56RPC","2","string_cronbach","locations_cronbach.end","12034"
"Q2D56RPC","3","string_cronbach","locations_cronbach.end","12891"
"Q2D56RPC","4","string_cronbach","locations_cronbach.end","12926"
"Q2D56RPC","5","string_cronbach","locations_cronbach.end","13331"
"Q2D56RPC","6","string_cronbach","locations_cronbach.end","13920"
"Q2D56RPC","7","string_cronbach","locations_cronbach.end","14185"
"Q2D56RPC","8","string_cronbach","locations_cronbach.end","14288"
"Q2D56RPC","9","string_cronbach","locations_cronbach.end","14503"
"Q2D56RPC","1","string_cronbach","post_cronbach","a given scores of 10 for controllability (full rang"
"Q2D56RPC","2","string_cronbach","post_cronbach","a was 0.92. The PHQ-9 scores are calculated as the "
"Q2D56RPC","3","string_cronbach","post_cronbach","a = 0.91). consistency (Cronbach’s a = 0.92) and te"
"Q2D56RPC","4","string_cronbach","post_cronbach","a = 0.92) and test– Columbia Suicide Severity Scale"
"Q2D56RPC","5","string_cronbach","post_cronbach","a of 0.93. 5–6-point Likert scales. Two questions I"
"Q2D56RPC","6","string_cronbach","post_cronbach","a items were used as outcome variables in the rangi"
"Q2D56RPC","7","string_cronbach","post_cronbach","a ranging from 0.73 to 0.94 (Bastien, Vallieres, &"
"Q2D56RPC","8","string_cronbach","post_cronbach","a in the rin, Belleville, Belanger, & Ivers, 2011)"
"Q2D56RPC","9","string_cronbach","post_cronbach","and predictive validity (Posner et al., 2011). a = "
