"doi","exemplar","type","key","value"
"QGFCHKAW","1","length","total_length","49111"
"QGFCHKAW","1","string_cronbach","locations_cronbach.start","11877"
"QGFCHKAW","2","string_cronbach","locations_cronbach.start","13101"
"QGFCHKAW","3","string_cronbach","locations_cronbach.start","15732"
"QGFCHKAW","1","string_cronbach","locations_cronbach.end","11888"
"QGFCHKAW","2","string_cronbach","locations_cronbach.end","13112"
"QGFCHKAW","3","string_cronbach","locations_cronbach.end","15743"
"QGFCHKAW","1","string_cronbach","post_cronbach","α = .91). develop a contextual behavioral science ("
"QGFCHKAW","2","string_cronbach","post_cronbach","α = .95). 160 B.A. Gaudiano et al. Journal of Conte"
"QGFCHKAW","3","string_cronbach","post_cronbach","α = Due to an initial survey programming error, dem"
