"doi","exemplar","type","key","value"
"R5BVZVRR","1","length","total_length","52594"
"R5BVZVRR","1","string_cronbach","locations_cronbach.start","15324"
"R5BVZVRR","2","string_cronbach","locations_cronbach.start","18781"
"R5BVZVRR","3","string_cronbach","locations_cronbach.start","29871"
"R5BVZVRR","1","string_cronbach","locations_cronbach.end","15339"
"R5BVZVRR","2","string_cronbach","locations_cronbach.end","18796"
"R5BVZVRR","3","string_cronbach","locations_cronbach.end","29886"
"R5BVZVRR","1","string_cronbach","post_cronbach","as were computed with 95% conﬁdence Scale (DASS-21;"
"R5BVZVRR","2","string_cronbach","post_cronbach","a of 0.84 (Martos et al., 2014). poor ﬁt (Browne & "
"R5BVZVRR","3","string_cronbach","post_cronbach","a of 0.90 for the overall pression: r = 0.151, p > "
