"doi","exemplar","type","key","value"
"SC6BJMZE","1","length","total_length","177529"
"SC6BJMZE","1","string_cronbach","locations_cronbach.start","19611"
"SC6BJMZE","2","string_cronbach","locations_cronbach.start","23392"
"SC6BJMZE","3","string_cronbach","locations_cronbach.start","27128"
"SC6BJMZE","4","string_cronbach","locations_cronbach.start","33981"
"SC6BJMZE","5","string_cronbach","locations_cronbach.start","34070"
"SC6BJMZE","6","string_cronbach","locations_cronbach.start","40423"
"SC6BJMZE","7","string_cronbach","locations_cronbach.start","43428"
"SC6BJMZE","8","string_cronbach","locations_cronbach.start","48493"
"SC6BJMZE","9","string_cronbach","locations_cronbach.start","62263"
"SC6BJMZE","10","string_cronbach","locations_cronbach.start","62310"
"SC6BJMZE","11","string_cronbach","locations_cronbach.start","93385"
"SC6BJMZE","12","string_cronbach","locations_cronbach.start","97313"
"SC6BJMZE","13","string_cronbach","locations_cronbach.start","99701"
"SC6BJMZE","14","string_cronbach","locations_cronbach.start","99827"
"SC6BJMZE","15","string_cronbach","locations_cronbach.start","100038"
"SC6BJMZE","1","string_cronbach","locations_cronbach.end","19624"
"SC6BJMZE","2","string_cronbach","locations_cronbach.end","23405"
"SC6BJMZE","3","string_cronbach","locations_cronbach.end","27141"
"SC6BJMZE","4","string_cronbach","locations_cronbach.end","33994"
"SC6BJMZE","5","string_cronbach","locations_cronbach.end","34083"
"SC6BJMZE","6","string_cronbach","locations_cronbach.end","40436"
"SC6BJMZE","7","string_cronbach","locations_cronbach.end","43441"
"SC6BJMZE","8","string_cronbach","locations_cronbach.end","48508"
"SC6BJMZE","9","string_cronbach","locations_cronbach.end","62276"
"SC6BJMZE","10","string_cronbach","locations_cronbach.end","62323"
"SC6BJMZE","11","string_cronbach","locations_cronbach.end","93398"
"SC6BJMZE","12","string_cronbach","locations_cronbach.end","97326"
"SC6BJMZE","13","string_cronbach","locations_cronbach.end","99714"
"SC6BJMZE","14","string_cronbach","locations_cronbach.end","99840"
"SC6BJMZE","15","string_cronbach","locations_cronbach.end","100051"
"SC6BJMZE","1","string_cronbach","post_cronbach","a = .88) and high interrater reliability (Beck et a"
"SC6BJMZE","2","string_cronbach","post_cronbach","a coefficients ranging from .87 to .97 (Beck et al."
"SC6BJMZE","3","string_cronbach","post_cronbach","a coefficients ranging from .87 (Clum & Yang, 1995)"
"SC6BJMZE","4","string_cronbach","post_cronbach","a = .93). Internal reliability for the subscales is"
"SC6BJMZE","5","string_cronbach","post_cronbach","a efficients ranging from .62 to .89. The SPS has h"
"SC6BJMZE","6","string_cronbach","post_cronbach","a coefficients ranging from .96 to .98 in clinical "
"SC6BJMZE","7","string_cronbach","post_cronbach","a = .86) as well as adequate item-total correlation"
"SC6BJMZE","8","string_cronbach","post_cronbach","a coefficients. The internal consistency coefficien"
"SC6BJMZE","9","string_cronbach","post_cronbach","a = .75) and nonclinical samples (Cronbach alpha = "
"SC6BJMZE","10","string_cronbach","post_cronbach","a = .80) and high test-retest reliability (r = .95)"
"SC6BJMZE","11","string_cronbach","post_cronbach","a coefficients ranging from .72 to .92 for each sub"
"SC6BJMZE","12","string_cronbach","post_cronbach","a coefficient of .86 (Ivanoff et al., 1994). Concur"
"SC6BJMZE","13","string_cronbach","post_cronbach","a coefficients ranging from .73 to .93. The Fear of"
"SC6BJMZE","14","string_cronbach","post_cronbach","a coefficients ranging from .45 to .71 (Westefeld e"
"SC6BJMZE","15","string_cronbach","post_cronbach","a coefficients ranging from .90 to .93 (Westefeld e"
