"doi","exemplar","type","key","value"
"Z7UFZGIY","1","length","total_length","53049"
"Z7UFZGIY","1","string_cronbach","locations_cronbach.start","2004"
"Z7UFZGIY","2","string_cronbach","locations_cronbach.start","13602"
"Z7UFZGIY","3","string_cronbach","locations_cronbach.start","13733"
"Z7UFZGIY","4","string_cronbach","locations_cronbach.start","18635"
"Z7UFZGIY","5","string_cronbach","locations_cronbach.start","19539"
"Z7UFZGIY","6","string_cronbach","locations_cronbach.start","19663"
"Z7UFZGIY","7","string_cronbach","locations_cronbach.start","19877"
"Z7UFZGIY","8","string_cronbach","locations_cronbach.start","20043"
"Z7UFZGIY","9","string_cronbach","locations_cronbach.start","20289"
"Z7UFZGIY","10","string_cronbach","locations_cronbach.start","20839"
"Z7UFZGIY","11","string_cronbach","locations_cronbach.start","22852"
"Z7UFZGIY","12","string_cronbach","locations_cronbach.start","26970"
"Z7UFZGIY","13","string_cronbach","locations_cronbach.start","27181"
"Z7UFZGIY","14","string_cronbach","locations_cronbach.start","27404"
"Z7UFZGIY","15","string_cronbach","locations_cronbach.start","27946"
"Z7UFZGIY","16","string_cronbach","locations_cronbach.start","28067"
"Z7UFZGIY","17","string_cronbach","locations_cronbach.start","31468"
"Z7UFZGIY","18","string_cronbach","locations_cronbach.start","32058"
"Z7UFZGIY","19","string_cronbach","locations_cronbach.start","36549"
"Z7UFZGIY","20","string_cronbach","locations_cronbach.start","36705"
"Z7UFZGIY","21","string_cronbach","locations_cronbach.start","36904"
"Z7UFZGIY","22","string_cronbach","locations_cronbach.start","37049"
"Z7UFZGIY","23","string_cronbach","locations_cronbach.start","37961"
"Z7UFZGIY","24","string_cronbach","locations_cronbach.start","40681"
"Z7UFZGIY","25","string_cronbach","locations_cronbach.start","42232"
"Z7UFZGIY","26","string_cronbach","locations_cronbach.start","43643"
"Z7UFZGIY","27","string_cronbach","locations_cronbach.start","44026"
"Z7UFZGIY","28","string_cronbach","locations_cronbach.start","44209"
"Z7UFZGIY","29","string_cronbach","locations_cronbach.start","48988"
"Z7UFZGIY","1","string_cronbach","locations_cronbach.end","2019"
"Z7UFZGIY","2","string_cronbach","locations_cronbach.end","13617"
"Z7UFZGIY","3","string_cronbach","locations_cronbach.end","13748"
"Z7UFZGIY","4","string_cronbach","locations_cronbach.end","18650"
"Z7UFZGIY","5","string_cronbach","locations_cronbach.end","19554"
"Z7UFZGIY","6","string_cronbach","locations_cronbach.end","19678"
"Z7UFZGIY","7","string_cronbach","locations_cronbach.end","19892"
"Z7UFZGIY","8","string_cronbach","locations_cronbach.end","20058"
"Z7UFZGIY","9","string_cronbach","locations_cronbach.end","20304"
"Z7UFZGIY","10","string_cronbach","locations_cronbach.end","20854"
"Z7UFZGIY","11","string_cronbach","locations_cronbach.end","22867"
"Z7UFZGIY","12","string_cronbach","locations_cronbach.end","26985"
"Z7UFZGIY","13","string_cronbach","locations_cronbach.end","27196"
"Z7UFZGIY","14","string_cronbach","locations_cronbach.end","27419"
"Z7UFZGIY","15","string_cronbach","locations_cronbach.end","27961"
"Z7UFZGIY","16","string_cronbach","locations_cronbach.end","28082"
"Z7UFZGIY","17","string_cronbach","locations_cronbach.end","31483"
"Z7UFZGIY","18","string_cronbach","locations_cronbach.end","32073"
"Z7UFZGIY","19","string_cronbach","locations_cronbach.end","36564"
"Z7UFZGIY","20","string_cronbach","locations_cronbach.end","36720"
"Z7UFZGIY","21","string_cronbach","locations_cronbach.end","36919"
"Z7UFZGIY","22","string_cronbach","locations_cronbach.end","37064"
"Z7UFZGIY","23","string_cronbach","locations_cronbach.end","37976"
"Z7UFZGIY","24","string_cronbach","locations_cronbach.end","40696"
"Z7UFZGIY","25","string_cronbach","locations_cronbach.end","42247"
"Z7UFZGIY","26","string_cronbach","locations_cronbach.end","43658"
