"","journal"
"1","Australasian Journal of Organisational Psychology"
"2","Academy of Management Journal"
"3","British Journal of Management"
"4","Employee Responsibilities and Rights Journal"
"5","European Journal of Work and Organizational Psychology"
"6","Group & Organization Management"
"7","Human Performance"
"8","Human Relations"
"9","Human Resource Management"
"10","Human Resource Management Journal"
"11","The International Journal of Human Resource Management"
"12","International Journal of Selection and Assessment"
"13","Journal of Applied Psychology"
"14","Journal of Applied Social Psychology"
"15","Journal of Business and Psychology"
"16","Journal of Management"
"17","Journal of Managerial Psychology"
"18","Journal of Organizational Behavior"
"19","Journal of Occupational Health Psychology"
"20","Journal of Occupational and Organizational Psychology"
"21","Journal of Personnel Psychology"
"22","Journal of Vocational Behavior"
"23","The Leadership Quarterly "
"24","Organizational Behavior and Human Decision Processes"
"25","Personality and Individual Differences"
"26","Personnel Psychology"
"27","Work & Stress"
