doi,regex_label,exemplar,alpha,pre,post,all,regex_inclusion,regex_exclusion,location_start,location_end,alpha_string,substring_between_cronbach_and_estimate,substring_immediately_before_estimate,substring_immediately_after_estimate,exclude_master,exclude_comparison_present,exclude_comparison_present_immediately_before_estimate,exclude_comparison_present_immediately_after_estimate,exclude_comparison_present_after_estimate,exclude_cutoff_present,exclude_range_present,exclude_p_present,exclude_significance_present,exclude_doi_present,exclude_psychometrika_present,exclude_odd_string_present
10.1007_BF01044375,test-retest reliability,1,NA,"terobserver reliability
  7. test-retest reliabili","ty
  8. reliability summary
  9. validity
  10. con","terobserver reliability
  7. test-retest reliability
  8. reliability summary
  9. validity
  10. con",test(-| )retest reliabilit,none,1746,1767,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_BF01044375,test-retest reliability,2,NA,"ators of sexual abuse.

#### test-retest reliabili","ty

test-retest reliability of ad dolls may not be ","ators of sexual abuse.

#### test-retest reliability

test-retest reliability of ad dolls may not be ",test(-| )retest reliabilit,none,29520,29541,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_BF01044375,test-retest reliability,3,NA,"### test-retest reliability

test-retest reliabili",ty of ad dolls may not be demonstrable. in an inves,"### test-retest reliability

test-retest reliability of ad dolls may not be demonstrable. in an inves",test(-| )retest reliabilit,none,29545,29566,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_BF01044685,test-retest reliability,1,NA,"m-iii-r (scid), h: multisite test-retest reliabili","ty. archives of general psychiatry, 49, 630–636.

*","m-iii-r (scid), h: multisite test-retest reliability. archives of general psychiatry, 49, 630–636.

*",test(-| )retest reliabilit,none,38874,38895,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_BF01044769,test-retest reliability,1,NA,80) would refer primarily to test-retest reliabili,ty for measuring trait variables with objective tes,80) would refer primarily to test-retest reliability for measuring trait variables with objective tes,test(-| )retest reliabilit,none,24844,24865,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_BF01045937,test-retest reliability,1,NA," and for time 2 to .79.

the test-retest reliabili",ty of the reduced smq was measured separately for t," and for time 2 to .79.

the test-retest reliability of the reduced smq was measured separately for t",test(-| )retest reliabilit,none,16560,16581,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_BF01068160,test-retest reliability,1,NA,"85), conducting a meaningful test-retest reliabili",ty check for our interviewers was difficult. severa,"85), conducting a meaningful test-retest reliability check for our interviewers was difficult. severa",test(-| )retest reliabilit,none,10392,10413,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_BF01499051,test-retest reliability,1,NA,ater reliability and .84 for test-retest reliabili,ty) in an inpatient study of the diagnostic intervi,ater reliability and .84 for test-retest reliability) in an inpatient study of the diagnostic intervi,test(-| )retest reliabilit,none,4829,4850,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_BF01499051,test-retest reliability,2,NA,reliability in 43 cases with test-retest reliabili,ty (approximately a one-week interval) in 20 cases.,reliability in 43 cases with test-retest reliability (approximately a one-week interval) in 20 cases.,test(-| )retest reliabilit,none,28352,28373,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_BF01499051,test-retest reliability,3,NA,ty disorders: interrater and test-retest reliabili,"ty. comprehensive psychiatry, 28, 467–480.

* * *

","ty disorders: interrater and test-retest reliability. comprehensive psychiatry, 28, 467–480.

* * *

",test(-| )retest reliabilit,none,40001,40022,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_BF01884023,test-retest reliability,1,0.89, hyman (1990) that yielded a test-retest reliabili,ty of .89 at a one-week interval. the study employe, hyman (1990) that yielded a test-retest reliability of .89 at a one-week interval. the study employe,test(-| )retest reliabilit,none,26660,26681,.89,ty of , of ,9 at a ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1007_s10979-005-2965-y,test-retest reliability,1,NA,amp; geier (2005)). although test-retest reliabili,ty with an mr population is unavailable for the rev,amp; geier (2005)). although test-retest reliability with an mr population is unavailable for the rev,test(-| )retest reliabilit,none,15574,15595,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-005-5524-7,test-retest reliability,1,NA, the jkcs was assessed using test-retest reliabili,ty. a sample of 32 participants was given the jkcs , the jkcs was assessed using test-retest reliability. a sample of 32 participants was given the jkcs ,test(-| )retest reliabilit,none,8690,8711,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-006-9051-y,test-retest reliability,1,NA,"ncy, interrater reliability, test-retest reliabili","ty, concurrent validity, and convergent and discrim","ncy, interrater reliability, test-retest reliability, concurrent validity, and convergent and discrim",test(-| )retest reliabilit,none,16741,16762,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-006-9052-x,test-retest reliability,1,NA,l (1986) reports appropriate test-retest reliabili,ty (r = .75) and internal consistency for the subsc,l (1986) reports appropriate test-retest reliability (r = .75) and internal consistency for the subsc,test(-| )retest reliabilit,none,21162,21183,.75,ty (r = ,r = ,5) and ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1007_s10979-006-9069-1,test-retest reliability,1,NA,"good interrater reliability, test-retest reliabili","ty, construct validity, and concurrent validity (ar","good interrater reliability, test-retest reliability, construct validity, and concurrent validity (ar",test(-| )retest reliabilit,none,14264,14285,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9097-5,test-retest reliability,1,NA,tuation is more similar to a test-retest reliabili,ty scenario than to the interrater reliability scen,tuation is more similar to a test-retest reliability scenario than to the interrater reliability scen,test(-| )retest reliabilit,none,7821,7842,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9097-5,test-retest reliability,2,0.6,earchers reported a two-year test-retest reliabili,ty value of icc = .60 for pcl-r total scores among ,earchers reported a two-year test-retest reliability value of icc = .60 for pcl-r total scores among ,test(-| )retest reliabilit,none,8576,8597,.60,ty value of icc = ,c = ,0 for p,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1007_s10979-007-9097-5,test-retest reliability,3,NA,even somewhat below two-year test-retest reliabili,"ty values (rutherford et al. 1999).

a second possi","even somewhat below two-year test-retest reliability values (rutherford et al. 1999).

a second possi",test(-| )retest reliabilit,none,30982,31003,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9097-5,test-retest reliability,4,NA,"ok, t. g. (1999). the 2-year test-retest reliabili",ty of the psychopathy checklist-revised in methadon,"ok, t. g. (1999). the 2-year test-retest reliability of the psychopathy checklist-revised in methadon",test(-| )retest reliabilit,none,52039,52060,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9111-y,test-retest reliability,1,NA,ed the tests’ interrater and test-retest reliabili,ty. gaze nystagmus was replaced with a new eye test,ed the tests’ interrater and test-retest reliability. gaze nystagmus was replaced with a new eye test,test(-| )retest reliabilit,none,13696,13717,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9111-y,test-retest reliability,2,NA,false positive rate was .12. test-retest reliabili,ty was assessed by dosing subjects a week later to ,false positive rate was .12. test-retest reliability was assessed by dosing subjects a week later to ,test(-| )retest reliabilit,none,16306,16327,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9111-y,test-retest reliability,3,NA,p of 94 male heavy drinkers. test-retest reliabili,ty figures (median retest period 21 days) were pres,p of 94 male heavy drinkers. test-retest reliability figures (median retest period 21 days) were pres,test(-| )retest reliabilit,none,26678,26699,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9111-y,test-retest reliability,4,NA,", typically show only modest test-retest reliabili","ties.

booker (2001) reported that 19% of subjects ",", typically show only modest test-retest reliabilities.

booker (2001) reported that 19% of subjects ",test(-| )retest reliabilit,none,27555,27576,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9111-y,test-retest reliability,5,NA,lves. in discussing the sfst test-retest reliabili,"ty coefficients, which hover around .70, burns stat","lves. in discussing the sfst test-retest reliability coefficients, which hover around .70, burns stat",test(-| )retest reliabilit,none,38647,38668,.70,"ty coefficients, which hover around ",und ,"0, burn",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1007_s10979-007-9111-y,test-retest reliability,6,NA,al. (1997) reported very low test-retest reliabili,"ties for both psychomotor tests, although the desig","al. (1997) reported very low test-retest reliabilities for both psychomotor tests, although the desig",test(-| )retest reliabilit,none,56108,56129,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9111-y,test-retest reliability,7,NA,ns discussed above made high test-retest reliabili,"ties unlikely. however, similar figures were report","ns discussed above made high test-retest reliabilities unlikely. however, similar figures were report",test(-| )retest reliabilit,none,56220,56241,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9122-8,test-retest reliability,1,NA,an americans and whites) and test-retest reliabili,"ty, and is strongly associated with measures of sui","an americans and whites) and test-retest reliability, and is strongly associated with measures of sui",test(-| )retest reliabilit,none,27365,27386,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9122-8,test-retest reliability,2,NA,isorders (scid-ii). part ii: test-retest reliabili,"ty study. journal of personality disorders, 9, 92–1","isorders (scid-ii). part ii: test-retest reliability study. journal of personality disorders, 9, 92–1",test(-| )retest reliabilit,none,65010,65031,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-007-9122-8,test-retest reliability,3,NA,"ord, c. (1995). twelve-month test-retest reliabili",ty of the structured clinical interview for dsm-iii,"ord, c. (1995). twelve-month test-retest reliability of the structured clinical interview for dsm-iii",test(-| )retest reliabilit,none,73181,73202,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-008-9159-3,test-retest reliability,1,NA,es across time intervals via test-retest reliabili,ties. data from the wais-iii suggest that vocabular,es across time intervals via test-retest reliabilities. data from the wais-iii suggest that vocabular,test(-| )retest reliabilit,none,36977,36998,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1007_s10979-010-9243-3,test-retest reliability,1,NA,1985) and possesses moderate test-retest reliabili,"ty over a 9-month period (r = .63; reynolds, 1981).","1985) and possesses moderate test-retest reliability over a 9-month period (r = .63; reynolds, 1981).",test(-| )retest reliabilit,none,17564,17585,.63,ty over a 9-month period (r = ,r = ,3; reyn,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1007_s10979-010-9243-3,test-retest reliability,2,NA,ts has demonstrated 6-8-week test-retest reliabili,"ty (.89, p < .001) and adequate internal consistenc","ts has demonstrated 6-8-week test-retest reliability (.89, p < .001) and adequate internal consistenc",test(-| )retest reliabilit,none,18122,18143,.89,ty (,ty (,"9, p < ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
10.1007_s10979-010-9248-y,test-retest reliability,1,NA,"almost always.” as expected, test-retest reliabili",ty is high for trait anxiety but variable for state,"almost always.” as expected, test-retest reliability is high for trait anxiety but variable for state",test(-| )retest reliabilit,none,14590,14611,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1005430904495,test-retest reliability,1,NA,were not able to examine the test-retest reliabili,ty of sara ratings. given the historical or static ,were not able to examine the test-retest reliability of sara ratings. given the historical or static ,test(-| )retest reliabilit,none,36088,36109,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1009420619940,test-retest reliability,1,0.92,ng 9 items was .93. a 2-week test-retest reliabili,ty of .92 was found for the 9-item atd-r with the s,ng 9 items was .93. a 2-week test-retest reliability of .92 was found for the 9-item atd-r with the s,test(-| )retest reliabilit,none,19397,19418,.92,ty of , of ,2 was f,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1023_A:1009420619940,test-retest reliability,2,0.65,uragement) of .86 to .87 and test-retest reliabili,ty estimates of .65 between sessions 1 and 3. hill ,uragement) of .86 to .87 and test-retest reliability estimates of .65 between sessions 1 and 3. hill ,test(-| )retest reliabilit,none,23934,23955,.65,ty estimates of , of ,5 betwe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1023_A:1009432520849,test-retest reliability,1,NA,t investigation in which the test-retest reliabili,ty has been measured for the bq. test-retest correl,t investigation in which the test-retest reliability has been measured for the bq. test-retest correl,test(-| )retest reliabilit,none,13144,13165,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1009488705828,test-retest reliability,1,NA,"he first and third sessions, test-retest reliabili","ty was satisfactory, r = .77 (p < .01). the split h","he first and third sessions, test-retest reliability was satisfactory, r = .77 (p < .01). the split h",test(-| )retest reliabilit,none,8907,8928,.77,"ty was satisfactory, r = ",r = ,7 (p < ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
10.1023_A:1012702223004,test-retest reliability,1,NA, (.70–.90 for subscales) and test-retest reliabili,ty was .95 (.82–.94 for subscales). the ppi total s, (.70–.90 for subscales) and test-retest reliability was .95 (.82–.94 for subscales). the ppi total s,test(-| )retest reliabilit,none,16739,16760,.95,ty was ,was ,5 (.82–,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1023_A:1012710424821,test-retest reliability,1,NA,"r example, a recent study of test-retest reliabili",ty indicated that pcl-r scores were reliable over a,"r example, a recent study of test-retest reliability indicated that pcl-r scores were reliable over a",test(-| )retest reliabilit,none,10279,10300,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1012710424821,test-retest reliability,2,NA,"cook, t. g. (1999). two-year test-retest reliabili",ty of the psychopathy checklist-revised in methadon,"cook, t. g. (1999). two-year test-retest reliability of the psychopathy checklist-revised in methadon",test(-| )retest reliabilit,none,42914,42935,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1014692009941,test-retest reliability,1,NA,rt. internal consistency and test-retest reliabili,"ty are high (wolchik et al., 1990; zelkowitz, 1989)","rt. internal consistency and test-retest reliability are high (wolchik et al., 1990; zelkowitz, 1989)",test(-| )retest reliabilit,none,20631,20652,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1016335422706,test-retest reliability,1,0.67,"orted as .81, and its 5-week test-retest reliabili","ty is .67 (kassin &amp; wrightsman, 1983). the item","orted as .81, and its 5-week test-retest reliability is .67 (kassin &amp; wrightsman, 1983). the item",test(-| )retest reliabilit,none,9076,9097,.67,ty is , is ,7 (kass,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1023_A:1016653407338,test-retest reliability,1,NA,cales range from .76 to .92. test-retest reliabili,ties range from .72 to .88. alpha estimates for the,cales range from .76 to .92. test-retest reliabilities range from .72 to .88. alpha estimates for the,test(-| )retest reliabilit,none,10451,10472,.72,ties range from ,rom ,2 to .8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1023_A:1016653407338,test-retest reliability,2,NA,"al score is .95, whereas the test-retest reliabili","ty for the total score is .93. moreover, significan","al score is .95, whereas the test-retest reliability for the total score is .93. moreover, significan",test(-| )retest reliabilit,none,10556,10577,.93,ty for the total score is , is ,3. more,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10.1023_A:1020118425588,test-retest reliability,1,NA,"er &amp; sheridan, 1989) and test-retest reliabili",ty (r = .82) has been demonstrated over a two-week ,"er &amp; sheridan, 1989) and test-retest reliability (r = .82) has been demonstrated over a two-week ",test(-| )retest reliabilit,none,20036,20057,.82,ty (r = ,r = ,2) has ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1023_A:1020299804821,test-retest reliability,1,NA,-iii—r (scid): ii. multisite test-retest reliabili,"ty. archives of general psychiatry, 49, 630–636.

w","-iii—r (scid): ii. multisite test-retest reliability. archives of general psychiatry, 49, 630–636.

w",test(-| )retest reliabilit,none,81354,81375,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1021379918556,test-retest reliability,1,NA,s across the seven evenings. test-retest reliabili,ties (split-half) for the seven evening feeling ite,s across the seven evenings. test-retest reliabilities (split-half) for the seven evening feeling ite,test(-| )retest reliabilit,none,22866,22887,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
